Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Cpu Brand,Cpu Model,Cpu Rate,SSD,HDD,Flash Storage,Hybrid,Gpu Brand,Gpu Model,,Price_euros
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,8GB,Linux,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Nvidia,GeForce 940MX,,522.99
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,682
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,12GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,0,0,Nvidia,GeForce 150MX,,999
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,4GB,No OS,Intel,Core i3 6006U,2GHz,128,0,0,0,Intel,HD Graphics 520,,369
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,AMD,Ryzen 1700,3GHz,256,1,0,0,AMD,Radeon RX 580,,1299
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,AMD,Radeon R5 M430,,639
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce MX150,,841
HP,255 G6,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,256,0,0,0,AMD,Radeon R4 Graphics,,398.49
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1103
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,0,0,Intel,HD Graphics 620,,384
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,AMD,Radeon 520,,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,0,0,Intel,HD Graphics 520,,439
Asus,VivoBook Max,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,586.19
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,2,0,0,Nvidia,GeForce GTX 1070,,2449
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2GHz,256,0,0,0,Intel,HD Graphics 520,,415
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,2,0,0,AMD,Radeon 530,,1299
Dell,Vostro 5471,Ultrabook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,879
Lenovo,IdeaPad 520S-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i3 7130U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,599
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,941
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,690
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,0,0,Nvidia,GTX 1050 Ti,,1983
HP,250 G6,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,500,0,0,AMD,Radeon 520,,438.69
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Intel,HD Graphics 620,,549
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,12GB,Linux,Intel,Core i7 7700HQ,2.8GHz,0,1,0,0,Nvidia,GTX 1050 Ti,,949
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,4GB,Windows 10 S,Intel,Core i5 7200U,2.5GHz,128,0,0,0,Intel,HD Graphics 620,,1089
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,AMD,Radeon 530,,955
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,AMD,Radeon 530,,870
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128,1,0,0,Nvidia,GeForce GTX 1050,,1095
Acer,Aspire E5-475,Notebook,14,1366x768,8GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,389
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,0,0,Nvidia,GeForce GTX 1050,,949
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,2,0,0,Intel,HD Graphics 620,,519
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,0,0,Intel,UHD Graphics 620,,855
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,0,1,0,0,Nvidia,GeForce MX130,,530
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,0,0,Nvidia,GeForce 930MX,,977
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1096.16
HP,ProBook 440,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,HD Graphics 620,,860
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,128,0,0,0,AMD,R4 Graphics,,399
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,0,0,AMD,Radeon R5,,395
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,0,0,Nvidia,GTX 1050 Ti,,1349
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce GTX 940MX,,699
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,0,0,Nvidia,GeForce GTX 1060,,1449
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,1649
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,AMD,FX 9830P,3GHz,0,1,0,0,AMD,Radeon RX 560,,699
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Nvidia,GeForce MX150,,689
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1197
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,0,0,Nvidia,GeForce GTX 1060,,1195
Asus,Zenbook UX430UA,Ultrabook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1049
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,847
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7500U,2.7GHz,0,1,0,0,AMD,Radeon R5 M430,,599.9
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2GHz,256,0,0,0,AMD,Radeon R5 M430,,485
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,256,0,0,0,Nvidia,GeForce 920M,,577
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,12GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,0,0,Nvidia,GeForce GTX 1050,,1249
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,AMD,Radeon 530,,719
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i5 8250U,1.6GHz,0,1,0,0,AMD,Radeon 520,,647
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Nvidia,GeForce MX150,,1119
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,8GB,Windows 10 S,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,1340
HP,Pavilion 14-BK001nv,Notebook,14,IPS Panel Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Nvidia,GeForce 940MX,,659
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Nvidia,GeForce 940MX,,1193
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GTX 1050 Ti,,1299
Lenovo,Thinkpad T470,Notebook,14,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1480
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,1,0,0,Nvidia,GeForce MX150,,1262
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,8GB,Windows 10,Intel,Core i7 7560U,2.4GHz,256,0,0,0,Intel,Plus Graphics 640,,1379
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,1399
HP,Probook 440,Notebook,14,IPS Panel 1366x768,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,0,0,Intel,UHD Graphics 620,,722
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1629
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1398.99
HP,Probook 440,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1084
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,1,0,0,Nvidia,GeForce 940MX,,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Nvidia,GeForce 920MX,,564
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce 940MX,,1118
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,0,0,Intel,HD Graphics 620,,479
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,2,0,0,Nvidia,GeForce GTX 1070,,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Nvidia,GeForce 940MX,,629
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Nvidia,GeForce 930MX ,,1271
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,256,0,0,0,AMD,Radeon R5,,451
HP,Probook 440,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,0,0,Intel,UHD Graphics 620,,812
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,1366x768,4GB,Windows 10 S,AMD,E-Series 6110,1.5GHz,64,0,0,0,AMD,Radeon R2,,277.99
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,2,0,0,AMD,Radeon 530,,1396
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,928
Dell,Inspiron 5567,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,AMD,Radeon R7 M445,,638.99
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,AMD,Radeon R5 M430,,449
Acer,Swift 3,Ultrabook,14,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,884
Acer,Aspire A515-51G-37JS,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,256,0,0,0,Nvidia,GeForce MX130,,572
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,Intel,HD Graphics 620,,598
HP,Probook 440,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,988
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128,1,0,0,Nvidia,GeForce GTX 1050,,938
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Nvidia,GeForce 920MX,,499
HP,Envy 13-AD007nv,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,699
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,0,1,0,0,Nvidia,GeForce MX130,,655
Lenovo,ThinkPad E480,Notebook,14,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,AMD,Radeon RX 550,,1116.02
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i7 7700HQ,2.8GHz,256,0,0,0,Nvidia,GeForce GTX 1050M,,869
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 6200U,2.3GHz,0,500,0,0,Intel,HD Graphics 520,,602
HP,255 G6,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,256,0,0,0,AMD,Radeon R4 Graphics,,369
Asus,ZenBook UX430UA,Ultrabook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,1099
HP,EliteBook Folio,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core M 6Y75,1.2GHz,512,0,0,0,Intel,HD Graphics 515,,2014
MSI,GE72MVR 7RG,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1070,,2029
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,447
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,0,0,Nvidia,GeForce GTX 1050,,1249.26
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,0,0,10,Nvidia,GeForce GTX 1050,,899
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,0,0,0,Intel,HD Graphics 620,,498
MSI,GE73VR 7RE,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1060,,1890
HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1082
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,AMD,Radeon 520,,619
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,256,0,0,0,Intel,HD Graphics 620,,629
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,HD Graphics 620,,1315
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,1049
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2.2GHz,0,500,0,0,Intel,HD Graphics 520,,447
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,0,0,AMD,Radeon R5 M420,,403
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Nvidia,GeForce MX150,,805
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,AMD,Radeon 520,,728
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,0,0,0,Nvidia,GTX 1050 Ti,,1079
MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1060,,1799
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,0,0,Nvidia,GeForce GTX 1050,,1060.49
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Nvidia,GeForce MX150,,854
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,0,0,Intel,UHD Graphics 620,,754
Huawei,MateBook X,Ultrabook,13,IPS Panel Full HD 2160x1440,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,1349
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,2,0,0,AMD,Radeon 520,,699
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,4GB,No OS,AMD,A6-Series 9220,2.9GHz,0,500,0,0,AMD,Radeon R4 Graphics,,309
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,500,0,0,Intel,HD Graphics 620,,489
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Nvidia,GeForce 930MX,,923
Dell,Inspiron 3567,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,0,0,Intel,HD Graphics 620,,459
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,0,0,Intel,HD Graphics 520,,449
